percentage,concepts,secs
16.0,41,327.5
29.0,27,332.55
47.0,11,91.3
30.0,2,286.3
34.0,8,125.16
35.0,8,113.39
23.0,5,247.77
35.0,18,177.19
37.0,24,216.05
37.0,23,132.61
30.0,24,311.25
30.0,20,160.27
41.0,17,187.45
29.0,10,229.68
42.0,15,170.26
32.0,33,377.33
39.0,14,153.76
37.0,14,175.33
29.0,26,179.56
41.0,12,165.02
49.0,16,108.38
37.0,14,215.18
35.0,14,212.92
42.0,15,219.79
43.0,12,165.39
37.0,23,226.49
37.0,14,167.45
39.0,8,148.87
35.0,11,225.8
38.0,12,112.79
40.0,16,295.3
47.0,3,72.76
38.0,16,168.58
43.0,11,114.23
36.0,13,137.0
39.0,10,141.17
37.0,17,216.67
46.0,10,157.57
43.0,11,113.97
36.0,13,121.23
45.0,7,104.02
38.0,15,203.57
51.0,7,68.47
37.0,15,290.78
38.0,17,176.65
43.0,8,129.11
35.0,15,173.23
40.0,13,131.6
45.0,11,167.28
27.0,44,179.65
7.0,5,97.5
9.0,3,96.25
6.0,8,60.18
5.0,18,76.38
7.0,7,93.56
11.0,45,99.86
12.0,29,88.74
11.0,40,85.37
11.0,55,103.01
8.0,69,125.89
12.0,53,129.56
12.0,54,124.41
15.0,43,105.45
18.0,32,69.76
15.0,61,142.09
13.0,1,86.63
8.0,13,30.79
6.0,33,33.36
14.0,8,139.21
7.0,24,79.95
5.0,28,70.47
4.0,17,60.41
17.0,20,262.53
25.0,9,270.0
30.0,5,148.0
12.0,29,281.06
6.0,7,35.0
35.0,9,278.01
35.0,21,197.05
34.0,7,252.13
25.0,22,408.92
15.0,4,102.6
27.0,4,57.05
16.0,10,63.57
10.0,4,53.32
16.0,2,41.12
12.0,5,98.76
8.0,2,77.31
18.0,13,742.52
13.0,30,864.32
16.0,39,1038.27
15.0,45,209.11
30.0,34,454.84
9.0,2,87.48
6.0,3,99.48
8.0,2,73.06
43.0,10,126.6
33.0,9,120.62
34.0,4,144.16
32.0,4,115.7
28.0,17,160.39
25.0,19,233.11
28.0,13,143.53
33.0,9,257.29
25.0,14,163.37
28.0,11,196.04
34.0,8,174.52
24.0,14,274.8
22.0,15,164.37
32.0,6,208.17
35.0,12,174.63
31.0,17,162.41
21.0,21,199.5
31.0,25,337.48
36.0,31,252.86
47.0,35,346.36
15.0,33,279.39
42.0,30,267.24
33.0,25,421.72
23.0,4,414.3
