percentage,concepts,secs
27.0,10,419.44
21.0,25,184.21
18.0,24,193.89
43.0,11,432.23
34.0,10,290.68
24.0,40,193.52
1.0,55,7.85
10.0,47,114.27
34.0,19,253.12
19.0,26,198.26
16.0,47,248.94
26.0,29,185.83
26.0,54,1994.18
21.0,16,198.72
26.0,11,296.01
36.0,4,204.94
14.0,39,1055.99
14.0,34,1019.83
21.0,18,132.77
40.0,18,222.25
6.0,45,89.18
20.0,50,267.02
17.0,17,241.1
35.0,6,192.1
36.0,29,431.94
37.0,14,357.24
34.0,13,259.23
28.0,12,278.29
37.0,24,569.87
56.0,5,169.45
25.0,16,415.75
49.0,15,937.0
50.0,13,348.0
53.0,29,611.0
11.0,27,243.4
45.0,2,164.54
49.0,1,189.71
7.0,6,120.47
38.0,1,168.74
13.0,13,303.26
17.0,32,133.5
20.0,63,751.81
6.0,22,55.0
27.0,17,343.33
44.0,4,146.45
31.0,10,158.6
31.0,12,76.94
24.0,3,111.63
26.0,39,164.08
27.0,56,216.38
24.0,74,137.14
20.0,64,292.01
42.0,34,179.22
30.0,43,279.38
35.0,24,308.98
23.0,28,162.55
3.0,47,44.56
14.0,51,183.36
28.0,7,41.82
24.0,8,73.52
26.0,27,111.17
33.0,20,112.25
29.0,21,82.02
85.0,12,258.08
30.0,33,168.94
22.0,12,146.72
48.0,10,462.78
30.0,16,122.4
34.0,9,364.98
39.0,9,219.57
25.0,12,203.91
28.0,29,426.0
1.0,12,17.13
30.0,43,359.0
34.0,17,325.0
40.0,15,309.62
41.0,17,306.99
10.0,43,133.52
35.0,17,190.1
1.0,12,6.77
1.0,15,5.6
0.0,47,8.48
40.0,32,708.0
40.0,24,422.63
24.0,22,248.19
23.0,17,229.12
28.0,38,422.13
22.0,22,249.69
29.0,16,318.45
17.0,10,207.5
17.0,7,215.89
16.0,22,229.07
26.0,15,149.07
20.0,14,128.7
16.0,23,156.79
16.0,17,417.6
18.0,33,161.66
24.0,37,267.41
25.0,30,451.4
21.0,24,270.46
6.0,6,63.39
23.0,22,300.35
25.0,45,162.44
8.0,28,35.18
25.0,24,97.79
37.0,32,227.02
24.0,8,83.57
14.0,37,263.25
25.0,39,565.75
18.0,12,75.61
21.0,30,375.0
16.0,46,239.79
16.0,3,127.84
18.0,10,349.18
23.0,4,167.67
14.0,9,164.08
22.0,17,350.83
29.0,18,191.55
31.0,14,163.61
23.0,7,181.62
10.0,18,105.9
9.0,17,208.52
9.0,16,137.49
13.0,9,127.8
10.0,31,168.29
23.0,15,96.35
35.0,17,215.0
42.0,9,90.32
56.0,9,94.76
27.0,25,313.84
26.0,9,124.7
45.0,6,48.16
3.0,2,36.52
41.0,11,188.43
24.0,8,309.01
36.0,5,213.67
33.0,13,209.26
34.0,16,211.89
7.0,5,20.67
17.0,22,430.94
6.0,5,54.68
33.0,41,312.16
43.0,11,265.72
16.0,14,173.87
19.0,26,420.96
36.0,12,89.07
6.0,3,93.98
39.0,11,225.47
30.0,20,307.1
2.0,12,8.25
25.0,32,411.47
17.0,29,429.32
48.0,14,174.98
37.0,20,362.26
17.0,24,187.62
25.0,30,224.14
19.0,27,201.98
30.0,25,200.96
7.0,18,74.2
39.0,11,353.21
4.0,31,50.05
3.0,37,57.01
2.0,30,32.31
28.0,39,266.56
4.0,7,21.48
12.0,41,339.37
15.0,48,574.1
30.0,57,1007.11
2.0,36,22.35
33.0,17,332.46
1.0,54,12.0
1.0,61,14.82
1.0,21,6.18
1.0,21,6.42
1.0,33,6.04
0.0,29,6.58
0.0,19,9.51
1.0,6,11.5
29.0,29,318.09
31.0,19,103.7
41.0,16,84.33
26.0,8,211.77
23.0,40,412.28
3.0,18,60.5
1.0,68,16.2
35.0,51,420.43
5.0,25,103.4
43.0,6,205.68
45.0,5,309.64
51.0,6,247.54
15.0,59,317.63
17.0,22,183.33
67.0,6,164.35
49.0,11,232.43
65.0,1,137.19
56.0,2,253.67
38.0,2,478.63
42.0,2,169.31
52.0,5,201.15
55.0,1,312.25
37.0,4,483.5
38.0,1,120.0
30.0,4,378.63
43.0,3,582.93
31.0,7,194.0
33.0,6,250.0
29.0,6,430.08
43.0,8,272.75
45.0,3,315.1
50.0,3,324.0
50.0,2,381.2
31.0,8,429.0
33.0,8,700.22
31.0,20,414.23
40.0,8,368.73
33.0,11,411.9
13.0,3,106.96
34.0,10,336.82
23.0,11,276.6
23.0,12,267.3
34.0,6,212.08
31.0,1,83.41
30.0,10,329.36
21.0,29,285.23
29.0,27,291.55
28.0,39,425.99
35.0,29,287.44
16.0,22,226.66
23.0,25,190.89
32.0,6,36.23
28.0,8,181.28
23.0,12,222.89
46.0,18,250.77
40.0,18,187.07
39.0,20,166.24
40.0,16,113.03
27.0,28,306.5
28.0,16,507.55
53.0,16,577.93
16.0,13,309.54
30.0,10,374.75
27.0,6,62.86
32.0,8,235.83
41.0,8,112.59
8.0,22,122.86
23.0,14,178.9
26.0,20,243.6
25.0,8,284.5
4.0,8,43.26
38.0,7,54.3
22.0,15,86.22
2.0,30,27.99
25.0,25,229.89
15.0,38,306.02
23.0,39,227.09
10.0,52,217.84
1.0,15,8.0
1.0,49,8.2
0.0,66,8.19
1.0,46,7.2
18.0,34,168.5
19.0,41,340.31
1.0,23,16.09
1.0,21,15.06
5.0,12,12.63
11.0,20,302.34
20.0,15,242.46
29.0,13,48.78
46.0,32,164.62
10.0,7,167.49
5.0,7,50.36
2.0,7,48.31
6.0,8,36.21
4.0,12,41.89
19.0,1,40.26
26.0,2,385.88
28.0,1,191.3
29.0,2,233.07
40.0,2,620.81
28.0,2,440.5
6.0,19,101.86
37.0,41,370.52
41.0,7,496.16
37.0,7,464.48
38.0,23,425.07
35.0,22,254.4
30.0,6,172.67
49.0,5,313.9
8.0,20,110.56
7.0,24,42.44
40.0,20,314.6
46.0,20,335.58
47.0,15,227.27
41.0,28,423.6
24.0,24,379.27
21.0,8,151.84
31.0,19,424.02
27.0,13,300.5
33.0,7,363.5
2.0,11,19.5
21.0,23,224.31
21.0,34,304.72
20.0,36,265.97
32.0,27,279.2
23.0,30,376.03
12.0,27,252.31
10.0,93,434.08
0.0,46,6.74
6.0,7,64.35
3.0,15,31.95
3.0,15,53.32
3.0,27,32.96
42.0,16,222.4
20.0,63,282.94
13.0,95,265.87
47.0,13,77.55
39.0,17,124.2
35.0,12,126.62
42.0,24,128.11
33.0,26,176.44
39.0,25,131.57
31.0,48,284.96
50.0,12,58.7
4.0,15,57.99
4.0,17,70.61
0.0,47,6.99
23.0,62,324.98
18.0,102,282.62
43.0,21,376.16
37.0,8,266.85
40.0,12,452.0
23.0,14,424.7
18.0,29,181.46
19.0,17,158.25
32.0,18,206.46
24.0,12,165.06
22.0,7,125.34
35.0,9,241.55
23.0,3,159.69
33.0,7,174.0
21.0,11,215.61
20.0,38,258.72
31.0,17,314.43
25.0,45,345.28
23.0,34,400.19
28.0,40,412.88
30.0,27,342.59
23.0,19,257.23
24.0,16,233.89
19.0,46,257.78
25.0,37,212.99
40.0,12,274.04
32.0,15,424.23
27.0,15,250.71
21.0,31,249.5
36.0,8,277.8
14.0,10,159.13
15.0,19,147.7
43.0,20,443.0
14.0,11,139.5
1.0,12,7.18
14.0,12,175.45
38.0,3,444.78
32.0,16,331.36
24.0,19,407.37
33.0,13,218.17
27.0,8,693.39
54.0,1,442.0
53.0,1,113.0
22.0,1,89.0
37.0,2,465.0
42.0,2,129.45
57.0,3,284.0
39.0,4,487.0
55.0,2,271.0
55.0,1,227.0
18.0,2,84.0
45.0,1,252.0
52.0,1,247.0
26.0,2,225.0
22.0,29,189.68
18.0,26,152.44
27.0,6,246.5
1.0,1,8.86
4.0,1,7.4
31.0,34,183.15
9.0,40,140.0
15.0,72,327.2
4.0,18,60.03
19.0,48,192.92
42.0,40,282.76
30.0,61,355.33
26.0,28,238.42
33.0,15,310.09
35.0,23,359.12
42.0,14,210.38
33.0,34,433.63
1.0,44,7.5
5.0,7,60.37
4.0,3,39.31
5.0,19,27.51
22.0,30,901.0
15.0,25,722.37
21.0,29,1012.85
52.0,19,225.43
33.0,27,210.85
26.0,24,189.77
4.0,22,29.5
62.0,42,991.2
78.0,18,286.85
53.0,31,441.45
48.0,37,183.4
50.0,13,192.5
38.0,10,126.8
43.0,15,234.1
40.0,16,201.68
63.0,16,302.73
56.0,12,270.75
51.0,22,480.1
56.0,12,265.55
63.0,11,427.65
61.0,20,460.7
25.0,39,257.8
55.0,26,351.7
55.0,34,255.5
50.0,55,592.0
54.0,65,820.1
49.0,50,426.9
31.0,20,498.25
1.0,12,10.0
25.0,15,161.68
0.0,12,5.12
0.0,11,5.02
0.0,13,5.21
0.0,10,5.33
24.0,104,713.8
41.0,13,145.18
37.0,6,341.32
30.0,7,244.16
22.0,10,368.16
26.0,10,205.39
33.0,9,331.28
36.0,12,346.73
14.0,2,31.52
9.0,3,43.3
3.0,11,42.76
3.0,28,46.37
31.0,15,277.42
26.0,23,102.89
18.0,21,194.34
17.0,66,385.48
17.0,27,251.01
33.0,26,218.95
38.0,8,217.42
27.0,34,200.58
31.0,21,167.91
52.0,5,111.0
21.0,32,209.1
33.0,13,232.08
38.0,3,98.8
43.0,13,156.5
39.0,5,233.93
5.0,31,49.59
6.0,17,46.37
19.0,19,354.71
25.0,25,433.76
13.0,15,163.77
15.0,9,206.02
16.0,10,198.77
5.0,10,68.34
37.0,8,247.58
20.0,12,226.37
35.0,9,523.67
47.0,7,495.46
37.0,6,193.62
14.0,36,427.3
29.0,13,239.7
38.0,30,645.3
8.0,26,150.0
31.0,11,214.7
15.0,30,264.07
40.0,12,250.12
20.0,34,582.0
30.0,1,103.42
21.0,2,79.57
31.0,11,487.48
14.0,20,187.59
11.0,27,186.69
19.0,25,290.95
14.0,35,226.76
7.0,23,120.72
25.0,15,317.72
24.0,47,380.55
19.0,19,85.22
28.0,48,366.9
23.0,12,119.04
20.0,29,258.54
28.0,6,118.5
22.0,27,273.89
3.0,28,47.4
53.0,7,311.5
23.0,15,291.08
16.0,10,110.15
28.0,6,224.8
19.0,10,270.77
13.0,5,94.57
36.0,1,228.88
12.0,2,78.68
7.0,3,62.37
31.0,5,270.98
18.0,38,474.94
23.0,73,356.86
37.0,9,225.95
43.0,13,332.57
35.0,10,264.19
10.0,43,391.29
11.0,16,241.9
8.0,2,31.76
40.0,13,166.41
1.0,53,8.91
1.0,21,8.1
32.0,10,212.28
1.0,47,13.49
3.0,22,25.0
22.0,19,242.71
35.0,9,172.37
26.0,22,235.12
27.0,5,127.75
31.0,24,548.88
24.0,53,165.28
28.0,7,175.45
26.0,18,179.48
1.0,49,29.44
17.0,14,169.14
25.0,12,350.9
10.0,17,76.29
16.0,14,204.85
15.0,20,166.27
18.0,21,207.98
29.0,20,233.89
29.0,6,256.2
34.0,7,237.2
34.0,6,376.11
47.0,4,204.48
21.0,10,391.1
9.0,24,188.04
29.0,6,254.48
37.0,5,327.72
28.0,6,201.41
22.0,16,167.75
28.0,10,257.54
26.0,3,321.84
18.0,15,192.55
19.0,44,306.83
23.0,23,329.53
1.0,27,30.75
28.0,12,587.75
27.0,7,260.92
30.0,4,476.98
24.0,5,210.09
18.0,15,291.67
16.0,9,212.7
30.0,23,604.67
37.0,7,297.13
27.0,9,282.16
32.0,27,488.43
29.0,3,370.67
25.0,22,442.69
42.0,6,356.23
0.0,16,5.0
33.0,8,247.95
22.0,5,68.0
30.0,10,248.3
34.0,9,347.2
15.0,14,147.65
14.0,20,172.42
32.0,10,324.08
37.0,10,386.76
27.0,8,273.34
24.0,17,520.73
21.0,16,507.98
19.0,10,243.69
28.0,9,322.34
25.0,9,398.79
21.0,13,441.23
19.0,9,339.7
28.0,8,401.25
25.0,8,547.62
26.0,9,310.85
43.0,24,601.94
34.0,16,360.85
36.0,7,623.35
50.0,12,315.5
19.0,19,205.35
60.0,7,390.3
24.0,8,349.43
24.0,14,293.7
19.0,15,153.1
30.0,5,151.0
44.0,12,426.3
25.0,16,274.44
17.0,15,182.45
32.0,24,248.73
8.0,21,93.6
9.0,28,148.55
27.0,30,466.15
9.0,10,63.9
45.0,6,243.2
33.0,30,409.5
51.0,12,574.4
10.0,10,130.61
3.0,15,58.88
5.0,9,117.52
4.0,14,42.85
5.0,25,105.72
4.0,20,68.72
4.0,9,63.44
3.0,18,61.38
31.0,14,296.11
29.0,26,369.72
14.0,36,202.33
12.0,21,130.75
19.0,13,230.56
4.0,7,40.12
5.0,4,21.21
1.0,3,6.22
0.0,16,6.82
1.0,2,6.93
1.0,5,6.28
0.0,10,6.29
1.0,9,11.17
1.0,17,12.42
26.0,2,115.95
1.0,31,22.38
26.0,21,236.92
18.0,3,108.7
5.0,6,106.0
33.0,2,437.48
15.0,6,237.77
50.0,2,730.0
25.0,5,418.03
22.0,23,381.08
27.0,6,199.03
27.0,12,355.31
38.0,20,361.0
33.0,6,243.48
26.0,29,257.1
4.0,12,65.26
2.0,7,88.71
6.0,18,96.51
2.0,9,13.66
12.0,3,34.03
11.0,2,21.41
4.0,7,20.03
6.0,3,64.08
8.0,4,74.09
0.0,30,6.1
22.0,28,406.26
31.0,22,316.04
32.0,15,255.52
29.0,11,246.84
17.0,8,164.85
28.0,5,248.79
18.0,15,522.77
27.0,7,281.51
18.0,19,131.37
25.0,12,234.43
29.0,4,264.78
23.0,7,260.1
14.0,46,131.57
28.0,11,124.0
38.0,22,307.83
25.0,30,234.92
21.0,44,345.42
33.0,16,237.37
11.0,3,45.66
26.0,33,404.25
37.0,30,268.0
4.0,27,52.56
29.0,27,213.04
22.0,67,265.09
13.0,7,136.16
30.0,10,64.3
15.0,19,256.04
20.0,42,598.97
33.0,15,323.69
41.0,34,428.07
44.0,9,125.27
47.0,5,173.72
30.0,10,403.85
42.0,2,594.68
22.0,3,279.3
27.0,4,270.29
37.0,7,480.75
20.0,3,312.98
36.0,1,402.93
25.0,4,317.87
23.0,2,229.76
38.0,2,447.98
1.0,3,17.38
2.0,3,20.49
1.0,4,26.18
2.0,1,22.27
2.0,8,27.12
2.0,2,51.14
2.0,2,32.18
4.0,3,44.84
3.0,2,39.94
1.0,7,8.4
1.0,3,8.52
1.0,4,8.46
1.0,2,8.49
1.0,7,9.09
1.0,3,7.7
1.0,7,9.51
1.0,3,9.45
43.0,8,638.38
1.0,8,5.44
1.0,8,5.12
0.0,12,5.55
0.0,10,5.63
0.0,5,5.55
0.0,10,5.74
34.0,6,340.63
3.0,3,35.74
4.0,2,42.28
4.0,2,50.15
1.0,12,11.69
1.0,12,14.26
1.0,3,11.52
1.0,11,10.6
1.0,5,12.27
1.0,12,8.75
17.0,9,445.98
28.0,29,431.61
30.0,13,426.31
47.0,5,214.87
39.0,6,299.46
1.0,13,9.57
1.0,11,9.79
38.0,3,302.42
47.0,2,229.71
46.0,3,106.6
37.0,4,265.71
31.0,8,307.98
37.0,6,334.67
28.0,8,234.9
29.0,7,287.02
38.0,10,267.65
62.0,8,185.32
31.0,12,375.08
36.0,10,246.68
15.0,14,434.24
14.0,3,326.56
10.0,3,173.47
27.0,7,501.55
30.0,13,297.58
36.0,5,220.55
37.0,2,267.82
9.0,13,56.08
2.0,8,6.01
0.0,35,5.2
1.0,15,5.22
17.0,41,549.9
7.0,11,41.91
6.0,13,98.53
17.0,52,248.5
21.0,40,173.82
53.0,34,305.43
28.0,63,378.0
7.0,43,49.76
1.0,42,12.75
3.0,44,28.51
48.0,12,70.44
49.0,23,166.1
15.0,36,239.72
12.0,35,180.45
20.0,12,123.11
10.0,30,148.11
19.0,34,312.73
24.0,13,231.95
11.0,43,209.08
21.0,39,457.72
55.0,14,458.2
11.0,11,290.65
15.0,20,487.76
39.0,12,314.91
38.0,9,272.24
34.0,14,220.39
39.0,32,558.61
15.0,25,176.83
26.0,15,415.38
32.0,24,289.35
30.0,28,282.27
29.0,19,283.85
33.0,34,504.17
16.0,21,172.13
23.0,31,469.78
16.0,22,253.25
2.0,21,45.5
38.0,21,882.75
25.0,54,384.62
24.0,34,391.5
22.0,54,355.12
24.0,62,534.5
4.0,29,63.3
22.0,34,295.38
32.0,13,396.84
27.0,25,289.59
28.0,41,288.6
0.0,18,5.52
1.0,26,5.87
0.0,28,6.45
30.0,2,301.3
29.0,13,281.81
30.0,24,360.92
55.0,24,686.22
52.0,10,465.15
36.0,11,358.32
15.0,42,166.22
2.0,21,11.63
9.0,25,152.12
24.0,35,489.7
11.0,11,189.07
22.0,50,176.44
20.0,33,601.9
23.0,6,210.14
11.0,37,246.78
18.0,23,343.73
35.0,8,274.67
34.0,6,284.18
16.0,20,321.09
43.0,6,202.19
31.0,8,428.0
19.0,29,507.53
28.0,10,275.02
33.0,10,283.7
27.0,26,404.5
45.0,4,247.15
22.0,3,139.5
20.0,6,218.15
14.0,24,573.49
11.0,45,243.11
2.0,30,64.35
29.0,13,318.43
19.0,9,184.55
4.0,4,55.97
30.0,11,329.69
30.0,9,276.36
42.0,3,164.46
38.0,3,108.25
36.0,17,286.39
36.0,12,201.02
20.0,12,176.35
35.0,13,229.32
33.0,9,126.43
28.0,9,156.59
39.0,16,270.62
26.0,8,338.04
23.0,5,245.21
28.0,3,279.95
10.0,28,83.9
17.0,5,643.09
38.0,2,571.3
23.0,36,384.74
24.0,23,242.91
14.0,47,537.99
25.0,42,589.51
21.0,21,470.43
30.0,14,400.09
32.0,12,409.17
24.0,21,451.24
29.0,4,133.26
35.0,3,268.25
22.0,41,321.3
23.0,4,382.88
40.0,2,535.81
18.0,22,166.0
42.0,13,160.88
38.0,10,223.62
35.0,11,167.51
41.0,16,204.47
46.0,20,248.06
38.0,13,193.76
49.0,9,139.23
44.0,20,211.81
53.0,8,95.73
37.0,23,357.05
22.0,38,187.27
37.0,18,139.27
4.0,26,104.18
23.0,50,599.5
2.0,29,47.0
9.0,10,164.42
30.0,14,224.98
25.0,14,198.03
31.0,16,170.76
26.0,11,172.49
40.0,16,295.94
38.0,13,303.05
25.0,12,204.08
33.0,15,202.73
40.0,18,217.27
41.0,13,287.55
34.0,27,310.79
31.0,11,138.59
41.0,10,204.73
27.0,13,158.39
32.0,5,104.13
37.0,8,177.34
41.0,19,336.48
3.0,37,22.48
24.0,10,125.02
28.0,5,82.36
29.0,5,200.54
33.0,13,259.22
42.0,12,178.43
19.0,52,158.92
27.0,15,321.45
48.0,10,164.38
39.0,20,286.79
23.0,26,370.86
3.0,18,54.47
37.0,20,659.72
30.0,26,524.31
29.0,29,686.08
41.0,2,401.82
15.0,6,241.66
31.0,6,480.7
16.0,25,78.75
46.0,28,156.15
48.0,21,179.6
50.0,12,89.62
9.0,26,75.88
25.0,9,144.36
24.0,15,155.85
9.0,4,82.19
4.0,3,115.33
33.0,19,201.23
33.0,13,155.8
29.0,40,394.74
30.0,57,328.9
15.0,70,255.79
28.0,43,264.97
59.0,17,77.42
27.0,48,322.04
29.0,27,298.67
14.0,54,227.51
2.0,29,20.26
15.0,23,113.76
7.0,98,138.42
23.0,5,308.02
12.0,37,125.86
44.0,23,289.05
4.0,95,71.89
19.0,26,78.66
19.0,36,189.42
34.0,22,129.15
41.0,27,108.91
16.0,22,76.49
12.0,19,191.5
31.0,15,473.73
26.0,18,532.9
25.0,12,271.77
23.0,27,442.93
37.0,9,400.23
33.0,10,461.55
34.0,19,73.32
23.0,31,191.67
19.0,44,222.63
30.0,15,118.1
25.0,30,214.49
32.0,18,184.57
43.0,9,116.4
58.0,9,104.12
38.0,22,112.75
27.0,27,92.01
24.0,32,196.7
35.0,14,190.72
17.0,26,211.03
32.0,7,180.12
20.0,7,160.55
55.0,11,326.0
28.0,25,193.5
46.0,12,177.1
54.0,21,367.0
57.0,24,420.0
61.0,24,319.0
60.0,24,480.0
32.0,38,386.5
39.0,11,137.5
75.0,5,169.0
59.0,17,389.0
53.0,13,268.0
60.0,18,305.0
33.0,33,319.0
16.0,21,90.0
38.0,28,323.07
28.0,13,333.52
4.0,25,35.23
32.0,11,253.82
36.0,11,144.36
30.0,11,171.43
31.0,10,165.78
36.0,8,154.55
37.0,7,151.08
3.0,9,44.22
17.0,27,222.09
18.0,17,100.45
20.0,35,286.67
16.0,32,396.2
35.0,1,169.87
33.0,9,333.19
28.0,9,533.37
34.0,31,692.89
4.0,38,116.52
1.0,32,12.85
36.0,4,144.33
25.0,18,280.2
35.0,11,236.94
20.0,5,192.62
26.0,27,402.52
36.0,34,251.84
20.0,58,278.42
30.0,47,214.16
26.0,29,138.56
49.0,27,118.76
32.0,18,182.92
25.0,22,343.25
30.0,14,194.23
33.0,41,317.51
35.0,18,171.53
35.0,9,93.97
27.0,33,262.5
1.0,5,15.64
3.0,32,85.96
28.0,21,234.6
14.0,34,257.6
27.0,16,285.03
36.0,15,223.19
28.0,17,139.05
25.0,13,133.88
35.0,13,135.65
24.0,12,336.26
35.0,12,290.37
23.0,12,87.95
10.0,11,57.33
19.0,16,124.7
64.0,9,290.5
39.0,12,284.07
57.0,5,47.36
29.0,14,417.98
9.0,12,99.3
11.0,2,85.07
16.0,11,32.01
20.0,32,571.9
8.0,8,125.4
12.0,11,104.05
7.0,3,81.22
15.0,5,154.33
20.0,3,75.18
5.0,8,61.74
4.0,15,62.29
7.0,4,47.93
9.0,2,159.86
17.0,3,130.96
10.0,4,161.72
15.0,15,177.14
54.0,63,429.24
6.0,42,61.71
22.0,13,206.87
27.0,6,292.81
20.0,6,348.17
21.0,8,390.99
18.0,14,382.84
1.0,22,6.45
1.0,18,6.5
0.0,14,6.12
34.0,6,223.63
40.0,12,118.0
35.0,15,260.18
21.0,39,418.5
29.0,51,354.42
28.0,32,373.47
35.0,8,165.63
30.0,13,176.6
38.0,15,218.22
2.0,22,54.62
30.0,15,220.45
25.0,25,299.03
32.0,21,446.76
27.0,28,269.79
28.0,41,224.19
1.0,11,5.73
1.0,18,6.11
1.0,11,5.96
0.0,1,5.97
1.0,3,6.56
28.0,12,272.11
34.0,14,271.84
22.0,12,134.55
30.0,10,179.46
30.0,15,365.47
36.0,5,353.02
12.0,14,157.52
28.0,20,329.0
5.0,37,117.0
50.0,66,1633.8
13.0,28,206.3
10.0,17,192.2
21.0,9,156.9
22.0,7,129.85
28.0,1,150.54
31.0,6,235.35
37.0,10,107.5
49.0,20,326.38
2.0,41,44.38
39.0,24,281.31
42.0,37,281.62
18.0,15,98.62
30.0,6,114.88
26.0,9,104.85
1.0,14,17.5
2.0,7,14.8
16.0,22,294.94
5.0,13,41.29
4.0,17,38.31
43.0,3,194.32
12.0,6,173.17
16.0,51,379.35
11.0,26,330.2
33.0,21,388.07
37.0,21,323.15
37.0,16,317.69
31.0,16,184.51
21.0,16,233.8
23.0,21,252.86
26.0,36,401.87
19.0,34,259.0
31.0,15,190.42
26.0,18,370.59
16.0,29,269.26
26.0,28,342.13
18.0,19,217.65
12.0,34,140.1
45.0,6,52.1
33.0,19,258.07
19.0,17,501.51
40.0,3,55.84
15.0,30,234.58
23.0,54,396.38
37.0,21,452.4
30.0,23,380.25
29.0,57,492.3
47.0,2,98.92
29.0,28,379.85
37.0,17,486.8
21.0,10,275.76
38.0,2,189.83
10.0,36,661.87
22.0,7,178.11
24.0,10,467.19
21.0,22,188.67
24.0,98,524.27
20.0,85,331.02
21.0,70,442.68
30.0,20,372.65
37.0,7,190.3
32.0,12,297.16
29.0,14,182.13
48.0,15,95.12
42.0,16,128.66
53.0,10,125.95
34.0,22,342.09
39.0,17,243.17
34.0,19,153.12
38.0,18,225.14
44.0,11,132.48
5.0,13,66.51
21.0,9,247.82
0.0,41,5.58
4.0,8,65.64
5.0,4,81.4
5.0,9,84.51
4.0,5,59.51
2.0,6,33.61
5.0,12,104.25
2.0,1,15.57
16.0,49,347.16
6.0,47,123.99
28.0,36,311.68
18.0,52,246.11
33.0,63,380.85
0.0,69,9.04
1.0,48,8.43
1.0,42,8.14
44.0,15,423.52
22.0,4,60.19
33.0,12,229.86
34.0,17,298.83
12.0,47,310.62
41.0,20,308.5
37.0,23,461.33
24.0,11,107.87
30.0,13,273.61
45.0,9,115.22
52.0,6,122.84
39.0,9,259.28
27.0,15,97.28
40.0,11,391.77
52.0,10,489.55
77.0,3,187.0
48.0,6,353.65
29.0,29,251.43
27.0,26,284.82
33.0,25,332.49
27.0,13,399.04
28.0,17,176.46
67.0,12,442.6
5.0,1,38.34
4.0,3,50.31
5.0,12,33.76
6.0,8,30.9
5.0,2,32.47
3.0,3,26.16
10.0,3,175.74
10.0,10,84.01
13.0,5,55.88
5.0,16,55.74
1.0,31,9.2
9.0,3,82.0
9.0,10,82.42
1.0,5,5.0
21.0,15,156.92
29.0,47,334.25
29.0,13,221.34
48.0,15,717.07
2.0,19,29.9
18.0,29,475.79
20.0,51,578.13
60.0,4,152.65
25.0,14,222.86
58.0,4,165.65
1.0,5,5.85
1.0,2,5.52
1.0,2,5.31
8.0,48,221.21
31.0,13,258.01
7.0,2,37.63
42.0,2,167.9
42.0,7,81.01
59.0,2,84.19
38.0,2,226.28
21.0,3,420.11
25.0,13,194.64
42.0,12,329.14
33.0,20,439.35
34.0,25,394.24
26.0,34,435.65
36.0,42,249.1
41.0,20,173.01
19.0,5,209.94
14.0,9,51.8
9.0,28,114.24
36.0,21,277.84
37.0,13,217.14
48.0,16,233.68
47.0,15,275.05
45.0,18,167.87
23.0,29,387.69
22.0,5,373.6
4.0,85,52.91
36.0,25,285.87
26.0,50,168.56
29.0,27,147.29
25.0,27,262.79
13.0,28,178.28
25.0,26,164.97
35.0,34,351.3
11.0,65,223.77
7.0,27,95.0
11.0,33,117.36
4.0,4,9.73
1.0,6,11.23
1.0,3,9.62
0.0,19,5.65
7.0,34,96.56
23.0,10,261.87
15.0,42,228.88
21.0,16,268.06
39.0,8,248.35
9.0,7,187.19
21.0,20,327.14
20.0,27,291.77
30.0,19,333.02
38.0,6,523.65
25.0,45,303.11
17.0,26,123.95
14.0,55,103.64
26.0,18,124.09
28.0,79,271.77
22.0,33,147.28
44.0,14,474.4
45.0,11,350.6
6.0,21,103.26
4.0,30,111.51
16.0,15,163.85
39.0,9,218.75
26.0,4,35.6
16.0,25,267.77
35.0,15,216.55
29.0,32,264.74
13.0,34,139.89
10.0,21,89.49
50.0,8,136.09
23.0,28,300.6
31.0,29,329.41
47.0,12,220.07
22.0,13,334.6
27.0,10,442.98
24.0,17,344.01
34.0,18,238.94
14.0,27,256.83
21.0,10,127.92
21.0,11,360.6
20.0,14,364.78
40.0,11,644.43
24.0,36,413.38
10.0,29,129.19
45.0,2,186.98
37.0,10,305.83
32.0,18,268.9
19.0,22,168.79
33.0,27,496.14
17.0,12,261.39
18.0,26,282.52
18.0,20,249.25
18.0,10,205.99
14.0,11,229.34
19.0,84,399.6
26.0,13,155.1
15.0,4,173.22
19.0,11,134.66
24.0,5,145.65
45.0,7,163.72
8.0,8,37.38
7.0,5,47.25
22.0,13,177.05
18.0,14,140.5
32.0,9,216.57
23.0,12,170.68
5.0,5,49.98
23.0,45,446.19
4.0,2,55.53
27.0,3,410.17
14.0,3,205.24
27.0,13,247.17
37.0,6,486.75
21.0,7,417.79
15.0,3,112.99
40.0,2,257.35
17.0,2,210.61
10.0,5,112.24
35.0,6,471.0
15.0,9,246.5
30.0,3,360.0
13.0,20,179.99
19.0,88,214.25
4.0,73,40.0
19.0,34,511.39
32.0,25,411.5
11.0,17,117.0
38.0,6,181.0
10.0,6,60.14
7.0,7,48.12
6.0,15,64.26
61.0,10,63.3
37.0,1,60.0
38.0,2,52.95
48.0,3,55.6
17.0,11,73.46
26.0,11,307.35
35.0,4,244.63
30.0,1,224.05
28.0,10,471.74
26.0,13,356.93
20.0,7,224.62
29.0,9,275.3
7.0,25,136.45
14.0,33,166.88
24.0,6,84.68
38.0,21,291.69
22.0,17,244.39
19.0,12,118.2
44.0,1,159.86
4.0,10,81.58
29.0,66,481.25
33.0,68,547.22
